listing_id,provider_id,current_status,recommended_status,predicted_decision,listing_age_months,stale_listing_flag,removal_recommended,review_reason,review_priority,assigned_reviewer_role,visible_to_renters,deviation_M,total_penalty,rule_quality_score
L0016,P1047,PENDING_REVIEW,REJECTED,Reject,13,1,1,model_reject; stale_listing_reapproval; removal_recommended_after_stale_grace,high,admin_reviewer,0,100.0,45,55
L0021,P1007,REAPPROVAL_REQUIRED,REAPPROVAL_REQUIRED,Approve,13,1,1,stale_listing_reapproval; removal_recommended_after_stale_grace,high,admin_reviewer,0,0.0,12,88
L0026,P1055,PENDING_REVIEW,REJECTED,Reject,13,1,1,model_reject; stale_listing_reapproval; removal_recommended_after_stale_grace,high,admin_reviewer,0,106.25,57,43
L0036,P1023,REAPPROVAL_REQUIRED,REAPPROVAL_REQUIRED,Review,13,1,1,model_review; stale_listing_reapproval; removal_recommended_after_stale_grace,high,admin_reviewer,0,21.0526,32,68
L0068,P1031,REAPPROVAL_REQUIRED,REAPPROVAL_REQUIRED,Review,13,1,1,model_review; stale_listing_reapproval; removal_recommended_after_stale_grace,high,admin_reviewer,0,50.0,42,58
L0096,P1015,REAPPROVAL_REQUIRED,REAPPROVAL_REQUIRED,Approve,13,1,1,stale_listing_reapproval; removal_recommended_after_stale_grace,high,admin_reviewer,0,14.6667,16,84
L0103,P1039,REAPPROVAL_REQUIRED,REAPPROVAL_REQUIRED,Review,13,1,1,model_review; stale_listing_reapproval; removal_recommended_after_stale_grace,high,admin_reviewer,0,16.6667,38,62
L0014,P1046,PENDING_REVIEW,REJECTED,Reject,12,1,0,model_reject; stale_listing_reapproval,high,admin_reviewer,0,75.0,71,29
L0013,P1045,PENDING_REVIEW,REJECTED,Reject,11,1,0,model_reject; stale_listing_reapproval,high,admin_reviewer,0,71.6667,75,25
L0024,P1053,PENDING_REVIEW,REJECTED,Reject,11,1,0,model_reject; stale_listing_reapproval,high,admin_reviewer,0,78.125,45,55
L0011,P1044,PENDING_REVIEW,REJECTED,Reject,10,1,0,model_reject; stale_listing_reapproval,high,admin_reviewer,0,100.0,53,47
L0023,P1052,PENDING_REVIEW,REJECTED,Reject,10,1,0,model_reject; stale_listing_reapproval,high,admin_reviewer,0,100.0,49,51
L0025,P1054,PENDING_REVIEW,REJECTED,Reject,10,1,0,model_reject; stale_listing_reapproval,high,admin_reviewer,0,131.25,57,43
L0009,P1043,PENDING_REVIEW,REJECTED,Reject,8,0,0,model_reject,high,admin_reviewer,0,125.0,45,55
L0022,P1051,PENDING_REVIEW,REJECTED,Reject,8,0,0,model_reject,high,admin_reviewer,0,65.625,75,25
L0030,P1059,PENDING_REVIEW,REJECTED,Reject,8,0,0,model_reject,high,admin_reviewer,0,162.5,71,29
L0020,P1050,PENDING_REVIEW,REJECTED,Reject,5,0,0,model_reject,high,admin_reviewer,0,110.0,57,43
L0029,P1058,PENDING_REVIEW,REJECTED,Reject,5,0,0,model_reject,high,admin_reviewer,0,90.0,71,29
L0005,P1041,PENDING_REVIEW,REJECTED,Reject,3,0,0,model_reject,high,admin_reviewer,0,108.3333,45,55
L0008,P1042,PENDING_REVIEW,REJECTED,Reject,3,0,0,model_reject,high,admin_reviewer,0,105.5556,57,43
L0019,P1049,PENDING_REVIEW,REJECTED,Reject,3,0,0,model_reject,high,admin_reviewer,0,120.0,45,55
L0028,P1057,PENDING_REVIEW,REJECTED,Reject,3,0,0,model_reject,high,admin_reviewer,0,81.25,57,43
