seed_item_id,seed_category,seed_gender,seed_size,recommended_item_id,recommended_category,recommended_gender,recommended_size,recommended_brand,recommended_provider_price,recommendation_pool_status,similarity_score,budget_alignment_score,final_score,explanation_reasons
L0001,Ethnic Wear,Unisex,M,L0257,Ethnic Wear,Unisex,L,Rohit Bal,2500.0,PRIMARY_APPROVE,0.509892,0.859049,0.647234,same_category|exact_gender_match|nearest_size_match|same_material|same_tier
L0001,Ethnic Wear,Unisex,M,L0900,Ethnic Wear,Unisex,L,Rohit Bal,2338.0,PRIMARY_APPROVE,0.451668,0.932983,0.61816,same_category|exact_gender_match|nearest_size_match|same_material|same_tier
L0001,Ethnic Wear,Unisex,M,L0049,Ethnic Wear,Unisex,S,Label Ritu Kumar,2175.0,PRIMARY_APPROVE,0.362871,0.992627,0.591508,same_category|exact_gender_match|nearest_size_match|same_material|near_category_budget
L0001,Ethnic Wear,Unisex,M,L1458,Ethnic Wear,Unisex,S,Meena Bazaar,1571.0,PRIMARY_APPROVE,0.291654,0.716973,0.554774,same_category|exact_gender_match|nearest_size_match|same_material|near_category_budget
L0001,Ethnic Wear,Unisex,M,L0096,Ethnic Wear,Unisex,S,Meena Bazaar,1720.0,PRIMARY_APPROVE,0.327899,0.784974,0.553064,same_category|exact_gender_match|nearest_size_match|same_material|near_category_budget
L0012,Ethnic Wear,Unisex,XL,L0257,Ethnic Wear,Unisex,L,Rohit Bal,2500.0,PRIMARY_APPROVE,0.463804,0.859049,0.621886,same_category|exact_gender_match|nearest_size_match|same_material|near_category_budget
L0012,Ethnic Wear,Unisex,XL,L1458,Ethnic Wear,Unisex,S,Meena Bazaar,1571.0,PRIMARY_APPROVE,0.810257,0.716973,0.808506,same_category|exact_gender_match|extended_size_match|same_material|same_tier
L0012,Ethnic Wear,Unisex,XL,L0096,Ethnic Wear,Unisex,S,Meena Bazaar,1720.0,PRIMARY_APPROVE,0.832797,0.784974,0.799258,same_category|exact_gender_match|extended_size_match|same_material|same_tier
L0012,Ethnic Wear,Unisex,XL,L0049,Ethnic Wear,Unisex,S,Label Ritu Kumar,2175.0,PRIMARY_APPROVE,0.788241,0.992627,0.793962,same_category|exact_gender_match|extended_size_match|same_material|same_tier
L0012,Ethnic Wear,Unisex,XL,L0157,Ethnic Wear,Unisex,XL,Manyavar,690.0,PRIMARY_APPROVE,0.934527,0.314902,0.867091,same_category|exact_gender_match|exact_size_match|same_material|same_tier
L0049,Ethnic Wear,Unisex,S,L0096,Ethnic Wear,Unisex,S,Meena Bazaar,1720.0,PRIMARY_APPROVE,0.86894,0.784974,0.864637,same_category|exact_gender_match|exact_size_match|same_material|same_tier
L0049,Ethnic Wear,Unisex,S,L1458,Ethnic Wear,Unisex,S,Meena Bazaar,1571.0,PRIMARY_APPROVE,0.705496,0.716973,0.796387,same_category|exact_gender_match|exact_size_match|same_material|same_tier
L0049,Ethnic Wear,Unisex,S,L0257,Ethnic Wear,Unisex,L,Rohit Bal,2500.0,PRIMARY_APPROVE,0.437532,0.859049,0.589936,same_category|exact_gender_match|extended_size_match|same_material|near_category_budget
L0049,Ethnic Wear,Unisex,S,L0900,Ethnic Wear,Unisex,L,Rohit Bal,2338.0,PRIMARY_APPROVE,0.409694,0.932983,0.577574,same_category|exact_gender_match|extended_size_match|same_material|near_category_budget
L0049,Ethnic Wear,Unisex,S,L1336,Ethnic Wear,Unisex,S,Soch,85.0,PRIMARY_APPROVE,0.449166,0.038792,0.562031,same_category|exact_gender_match|exact_size_match|same_material|same_condition
L0080,Ethnic Wear,Unisex,S,L0430,Ethnic Wear,Unisex,S,Rohit Bal,2451.0,REVIEW_FALLBACK,0.878391,0.881412,0.79859,same_category|exact_gender_match|exact_size_match|same_material|same_tier
